file_name, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2, mean_distance, mean_distance_2
0stb, 0.03747899670481319, 0.03596014375907384, 0.03675807199495993, 0.13799974914141158, 0.11638438919131802, 10.207365632726987, 10.600255439561177, 4836.179299594198, 4836.579094163119
10stb, 0.03861384850882791, 0.03638286251994276, 0.03676415758111847, 0.3589627508074485, 0.30569872209797916, 14.972258963729452, 13.206057087667226, 4028.3175529234672, 4028.327032165071
11stb, 0.037187566524170185, 0.03729171479324263, 0.037124275054143445, 0.21908696731086202, 0.1336123532970652, 16.096992829171228, 13.828128967607565, 4558.88044159935, 4559.132087719815
12stb, 0.03759101941214862, 0.036706298436305886, 0.03676075021186906, 0.39633180726545963, 0.2617769275436855, 16.41102284948548, 14.255710395848828, 4163.383296015285, 4163.884265396084
13stb, 0.04198928834529598, 0.03772807440048965, 0.037788975309642134, 0.44242865840311396, 0.362013637398119, 13.193775684354256, 11.88559075883621, 3918.3740854754255, 3918.437243305555
14stb, 0.037565643624848766, 0.03663142641217375, 0.03662986241383311, 0.21819078274552506, 0.12305791809702861, 17.73511472004547, 15.403941513030414, 4505.937308785392, 4506.337219759431
15stb, 0.03733587324062275, 0.036826894096846086, 0.03696804853265297, 0.3859739294524132, 0.29540864565650543, 14.388498027525852, 12.197869906380621, 4088.6878142294154, 4089.116583500166
16stb, 0.037899081478537995, 0.03654876259349689, 0.0373280038256684, 0.20601426776594495, 0.12384047382339189, 15.414683490807612, 13.01783955710756, 4599.534024781039, 4599.787658149615
17stb, 0.04515965365553634, 0.04742051845893427, 0.11523606888907843, 0.4658888399237263, 0.4190975163788632, 8.522896690885942, 12.382961360255589, 4610.8099263107215, 4610.800735821019
18stb, 0.038663554597423024, 0.03862092067662441, 0.03857565649452255, 0.48342565365808726, 0.3765289548811978, 17.517894720101737, 14.484394922127207, 4079.385682635611, 4081.1663088639625
19stb, 0.04245309573760025, 0.037305078968871246, 0.03776943288985643, 0.3358606182564569, 0.2260795068948894, 16.627172863321295, 14.546978565979876, 4261.427903814372, 4261.693862364954
1stb, 0.038530439254394616, 0.03683370460377582, 0.03728426793889604, 0.30835495838004234, 0.24979200345496774, 14.988537322540685, 13.355406306821308, 4389.302514262016, 4389.552459347254
20stb, 0.037565791173492055, 0.03744192943714428, 0.03819956113045327, 0.44629637709948006, 0.4322371591399252, 14.034701382674456, 13.639595892022358, 4537.825410280712, 4537.59934072875
21stb, 0.03994453188352787, 0.038650924080532084, 0.038909864373917184, 0.4087901222019855, 0.3586776949103057, 12.860525404893096, 11.85567499756089, 4489.5087918838935, 4488.9450105028545
22stb, 0.040645791974152835, 0.03841576639421902, 0.039123763114173295, 0.43566941342421545, 0.3783242243976141, 17.284496986393982, 16.134282295754314, 4326.19558511482, 4326.089790851118
2stb, 0.03999783472107761, 0.042048587119162394, 0.03888875433108349, 0.34576944146026645, 0.2924021480238311, 13.895853855876158, 12.006544958277708, 4456.912916470198, 4457.010484952204
3stb, 0.04597879746307785, 0.03668531624291722, 0.03712901801122823, 0.6024716952652813, 0.5070528343586672, 17.48811714130802, 15.095381102559882, 3531.0902290713343, 3531.7610028362255
4stb, 0.04192767798704961, 0.03754761557997306, 0.037130536128387126, 0.678051475640858, 0.6207791940836338, 21.060376881557943, 18.471345376714076, 3222.615759925279, 3221.6048836419973
5stb, 0.03913119094456836, 0.03636563810848381, 0.03640401123028153, 0.18968960497878018, 0.14844220644164335, 12.868814688493666, 11.655717478324512, 4614.832782249823, 4614.687339815409
6stb, 0.039280855988689356, 0.037255667876996246, 0.0384064050229035, 0.3671814018286099, 0.28936460362047034, 15.775892268834697, 13.491029836213231, 4346.250035737408, 4346.6945762763135
7stb, 0.0390445338215594, 0.036905186577348446, 0.03757730957038924, 0.17837502229689237, 0.1322772089707861, 14.47875473274895, 13.407680985270286, 4782.812272194997, 4782.564742963493
8stb, 0.040088717760956995, 0.03758618984196381, 0.037526014127804326, 0.5240370037412835, 0.4251526313173749, 17.818698062917253, 16.254227072415024, 3642.722103572605, 3643.068030069588
9stb, 0.03670422672573688, 0.03691291010269953, 0.03629805446221313, 0.24454094863191153, 0.21133538206162633, 13.94314196528182, 12.672724818789975, 4471.788848772406, 4471.503304348897
