file_name, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2, mean_distance, mean_distance_2
0stb, 0.03747899670481319, 0.03596014375907384, 0.037175461455373225, 0.1226853114172991, 0.12410597273780037, 10.148774029052174, 10.63822778089856, 4787.451215928052, 4787.8725919085555
10stb, 0.03861384850882791, 0.03638286251994276, 0.037268095348105275, 0.22360150531326126, 0.30569872209797916, 11.12504695809061, 13.206057087667226, 4661.200145811127, 4661.175967722721
11stb, 0.037187566524170185, 0.03729171479324263, 0.03708409424910342, 0.14849944329889067, 0.13303256595739965, 12.390880558384843, 13.74815016649257, 4814.774303606684, 4814.865980274139
12stb, 0.03759101941214862, 0.036706298436305886, 0.03765003772548171, 0.27216937014381254, 0.2610886299790171, 11.930000435838602, 14.256098603502268, 4703.168286538901, 4703.312399163269
13stb, 0.04198928834529598, 0.03772807440048965, 0.036884606603078095, 0.30257190178501703, 0.3599930141833842, 9.658823772273209, 11.82556370279242, 4547.038524031456, 4546.960479882197
14stb, 0.037565643624848766, 0.03663142641217375, 0.03709499475388916, 0.1451286724842998, 0.12204697262824674, 14.239279913403394, 15.4613590343652, 4834.833379879938, 4834.9978419791005
15stb, 0.03733587324062275, 0.036826894096846086, 0.03880546452418915, 0.3134574920628362, 0.29384007677719676, 12.199940254985565, 12.27168243333067, 4387.32402805727, 4387.5287300079135
16stb, 0.037899081478537995, 0.03654876259349689, 0.0367483072699357, 0.14276164129088206, 0.12211264912705629, 12.156680284079636, 13.01509766712113, 4809.413032549843, 4809.571638048077
17stb, 0.04515965365553634, 0.04742051845893427, 0.06059671302743812, 0.4250848324763045, 0.4253914914489195, 10.385587242687054, 12.372612058119312, 4352.401388318149, 4352.306171479458
18stb, 0.038663554597423024, 0.03862092067662441, 0.03954644596820874, 0.413194382757244, 0.38119720325181683, 13.184560733470924, 14.737859178258718, 4658.524950152414, 4659.201322537356
19stb, 0.04245309573760025, 0.037305078968871246, 0.037925893072422945, 0.28118360572438944, 0.22643244895944872, 13.473032680459175, 14.54721260468147, 4701.0312375458, 4701.123915851508
1stb, 0.038530439254394616, 0.03683370460377582, 0.03708812005742384, 0.22978055952986756, 0.2489865582169377, 11.95858670795343, 13.315963283161281, 4752.238791283185, 4751.818995235486
20stb, 0.037565791173492055, 0.03744192943714428, 0.038222289151074236, 0.392857749557454, 0.4307541782519572, 12.16916171615798, 13.719299986901333, 4776.242001723491, 4776.18154400981
21stb, 0.03994453188352787, 0.038650924080532084, 0.03931656404505507, 0.3661043132795313, 0.36264651630435274, 11.365931019154065, 11.860707743987737, 4775.910762317035, 4775.794162860995
22stb, 0.040645791974152835, 0.03841576639421902, 0.04095178083787183, 0.39117741206356826, 0.3779449278400014, 14.547170643153597, 16.110743037705916, 4731.340451345302, 4731.331201018198
2stb, 0.03999783472107761, 0.042048587119162394, 0.04192692349709898, 0.33057775581149385, 0.2923821092204093, 12.414223891872902, 12.003287645492085, 4621.976609494837, 4622.142185049515
3stb, 0.04597879746307785, 0.03668531624291722, 0.047691368340438335, 0.44128751623170726, 0.5042757177287216, 12.901447710245906, 15.076067871694548, 4579.546724270495, 4580.02979603726
4stb, 0.04192767798704961, 0.03754761557997306, 0.043413464711638185, 0.5999950243752037, 0.6300875621318581, 14.635390517473539, 18.660025290475954, 4127.999045031018, 4127.579563522457
5stb, 0.03913119094456836, 0.03636563810848381, 0.04542477275287876, 0.15643628255577732, 0.14786681961113005, 11.804022965725018, 11.648268842423603, 4762.748817033944, 4762.756805077752
6stb, 0.039280855988689356, 0.037255667876996246, 0.0386637297257175, 0.3289222402434923, 0.28863274964104746, 13.320921111602532, 13.451277492646241, 4568.535234449219, 4568.998540298328
7stb, 0.0390445338215594, 0.036905186577348446, 0.040767941504460274, 0.15483331952502685, 0.13018826906214345, 14.03687043219736, 13.357057187137757, 4832.9784818402395, 4833.10111606897
8stb, 0.040088717760956995, 0.03758618984196381, 0.0446015438111227, 0.4080416402434053, 0.42720291672221533, 13.977280902257895, 16.316231313454324, 4320.587875318108, 4321.122072010054
9stb, 0.03670422672573688, 0.03691291010269953, 0.03646900292986598, 0.18925506992809463, 0.21316465192156966, 12.406913049345118, 12.70332098639603, 4727.453705684051, 4727.3060642332775
