file_name, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2, mean_distance, mean_distance_2
0stb	0.0374789967	0.03596014376	0.0369016621	0.1477381584	0.1230630654	11.09594438	10.54883091	4665.58144	4382.209134
10stb	0.03861384851	0.03638286252	0.03689166397	0.3400872534	0.3029069529	14.38130193	13.08545383	4038.436537	3861.611672
11stb	0.03718756652	0.03729171479	0.03614155642	0.1938694124	0.1327180682	15.15582931	13.71564863	4641.432708	4524.357692
12stb	0.03759101941	0.03670629844	0.03662110111	0.344893527	0.2600075176	15.41342716	14.19706714	4380.783407	4175.980875
13stb	0.04198928835	0.0377280744	0.03900641545	0.4145044382	0.3585472591	12.68966083	11.77807148	4066.125543	3606.491481
14stb	0.03756564362	0.03663142641	0.03639882306	0.196214306	0.1216231984	17.26898579	15.40767376	4551.876858	4551.159375
15stb	0.03733587324	0.0368268941	0.03741986839	0.3532044684	0.29258435	13.20410936	12.21923935	4177.290634	3905.36185
16stb	0.03789908148	0.03654876259	0.03683365603	0.1765770335	0.1217174626	14.38654909	12.97297761	4683.038225	4541.615983
17stb	0.04515965366	0.04742051846	0.04762511485	0.4502776258	0.4253914914	13.00191486	12.37261206	4073.568816	3570.61245
18stb	0.0386635546	0.03862092068	0.03907178774	0.4100071614	0.378072636	15.16952403	14.61705705	4400.938495	4027.180024
19stb	0.04245309574	0.03730507897	0.03791028281	0.3075126341	0.2256851471	15.83312937	14.499202	4356.628407	4244.866087
1stb	0.03853043925	0.0368337046	0.03669125278	0.2652619837	0.2479640262	13.66729023	13.2612776	4582.797279	4159.9955
20stb	0.03756579117	0.03744192944	0.0378181105	0.45370772	0.4297639388	14.17637454	13.68776137	4495.820094	3578.013986
21stb	0.03994453188	0.03865092408	0.03902329089	0.3890823773	0.3618118868	12.31513588	11.83341037	4562.721296	3891.367272
22stb	0.04064579197	0.03841576639	0.03912855129	0.4093017863	0.3770770864	16.45103151	16.07374937	4431.978393	3846.407902
2stb	0.03999783472	0.04204858712	0.04125455328	0.3170764162	0.2910470311	12.74334842	11.94847811	4544.976432	4072.627221
3stb	0.04597879746	0.03668531624	0.03716766374	0.5413554062	0.5042757177	16.10682344	15.07606787	3890.389114	3360.31483
4stb	0.04192767799	0.03754761558	0.03812521414	0.6619057305	0.6268563439	19.67176989	18.56433285	3337.393886	2990.257706
5stb	0.03913119094	0.03636563811	0.03707727921	0.172312504	0.1473638712	12.25086328	11.60864888	4648.69501	4337.452739
6stb	0.03928085599	0.03725566788	0.03847442042	0.3347939668	0.2886327496	13.9457253	13.45127749	4458.037307	4092.204944
7stb	0.03904453382	0.03690518658	0.03729105044	0.160372839	0.1294994422	13.85497377	13.28638493	4784.831254	4495.075498
8stb	0.04008871776	0.03758618984	0.03742189601	0.4884853378	0.4251830448	17.00252947	16.23908601	3770.026657	3645.836399
9stb	0.03670422673	0.0369129101	0.03696089759	0.2330937863	0.2129508459	13.4581734	12.69057944	4568.955847	4100.914829
