file_path, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2
file_path, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2
../results-new/averaging-filter/DeepStab/10_avg_stab_r_25.avi, 0.03402006178489944, 0.03656599007774722, 0.03831593171304281, 0.32151431064894626, 0.3627080619674796, 12.463977436744955, 13.988453502633687
../results-new/averaging-filter/DeepStab/11_avg_stab_r_25.avi, 0.03374642048428534, 0.035816647643771196, 0.03645798855946829, 0.4158634152499993, 0.43977838712520345, 14.248731694861275, 14.989742053501326
../results-new/averaging-filter/DeepStab/12_avg_stab_r_25.avi, 0.033578047375796914, 0.03301316956327214, 0.03389900405966333, 0.35256424866406305, 0.44293457857557583, 12.750637321940491, 15.990186296103895
../results-new/averaging-filter/DeepStab/13_avg_stab_r_25.avi, 0.037098643008173615, 0.03622685527717895, 0.036547826538101104, 0.2344770981598279, 0.31406434396769184, 11.868413198844609, 13.42273742098362
../results-new/averaging-filter/DeepStab/14_avg_stab_r_25.avi, 0.03585889222414345, 0.03530111942621412, 0.03554455714769189, 0.2255749571109404, 0.27885134382557714, 11.728137279969664, 13.106885937308917
../results-new/averaging-filter/DeepStab/15_avg_stab_r_25.avi, 0.035987916238352444, 0.035575235636526044, 0.03594815635041521, 0.26573211928499385, 0.32431550552267574, 12.875261537877817, 13.37658706648296
../results-new/averaging-filter/DeepStab/16_avg_stab_r_25.avi, 0.03757602739755232, 0.037793037442517226, 0.03829911282880247, 0.2796970367143919, 0.36514199446729984, 13.245613761941952, 14.613629584330587
../results-new/averaging-filter/DeepStab/17_avg_stab_r_25.avi, 0.03670453213768338, 0.034524249534511345, 0.03461669674410079, 0.324637771757451, 0.4190504645093769, 13.316281382667409, 15.666831030643555
../results-new/averaging-filter/DeepStab/18_avg_stab_r_25.avi, 0.036706690810390026, 0.036840165956354184, 0.0375021189611785, 0.301028170558766, 0.38660345834226734, 12.709645974474498, 14.811213424150463
../results-new/averaging-filter/DeepStab/19_avg_stab_r_25.avi, 0.04908127825883529, 0.04674269946283228, 0.05141855557556274, 0.5627731732860249, 0.6123089055112539, 13.406510401346937, 15.990943632882907
../results-new/averaging-filter/DeepStab/1_avg_stab_r_25.avi, 0.03802959647879066, 0.03692906801986292, 0.0382188286628073, 0.45818969450474883, 0.513635036408455, 13.438035237870453, 15.346809780021289
../results-new/averaging-filter/DeepStab/20_avg_stab_r_25.avi, 0.036845034424280415, 0.04342561733312235, 0.04328214933364163, 0.40968537134697697, 0.4806662711141618, 13.488878863367745, 15.921547143114852
../results-new/averaging-filter/DeepStab/21_avg_stab_r_25.avi, 0.03679304556734021, 0.03662224773266355, 0.03650023622426403, 0.35536684186564077, 0.4119129416597262, 12.486457570002791, 13.137901748720804
../results-new/averaging-filter/DeepStab/22_avg_stab_r_25.avi, 0.036151556822384766, 0.03986950246668995, 0.042717777047879026, 0.3659915741217045, 0.4099400171990929, 12.797146621521565, 13.8074090058403
../results-new/averaging-filter/DeepStab/23_avg_stab_r_25.avi, 0.03587484788656041, 0.036896996459672385, 0.03864723576405514, 0.44786689403473334, 0.5023840879805294, 13.764260499171888, 17.813429388708514
../results-new/averaging-filter/DeepStab/24_avg_stab_r_25.avi, 0.03647464099533563, 0.037827432538850916, 0.03910036443158139, 0.417447872399016, 0.4558789341747837, 13.877927070672309, 16.340128499662896
../results-new/averaging-filter/DeepStab/25_avg_stab_r_25.avi, 0.03561888819480289, 0.03555325486158981, 0.038216977733215154, 0.35795246250722773, 0.41777860574855513, 12.367551909043838, 14.570169670184395
../results-new/averaging-filter/DeepStab/26_avg_stab_r_25.avi, 0.0360643041769688, 0.03646847456623691, 0.03600789719594675, 0.3675506234099178, 0.4187186029632923, 14.156326621473822, 15.643547052434213
../results-new/averaging-filter/DeepStab/27_avg_stab_r_25.avi, 0.03566808442974528, 0.03695318405210695, 0.040134368589202885, 0.3350781342077611, 0.45349193228939727, 12.705969014877132, 14.08415364911465
../results-new/averaging-filter/DeepStab/28_avg_stab_r_25.avi, 0.037124463432878445, 0.03718052266437148, 0.03804726327232863, 0.31148008318041004, 0.450717343706182, 12.500941039424609, 12.927454392802472
../results-new/averaging-filter/DeepStab/29_avg_stab_r_25.avi, 0.03554153466927077, 0.03699905338171916, 0.0368745259761351, 0.2457360934156307, 0.36718400851521305, 11.491871101202108, 15.873747822176897
../results-new/averaging-filter/DeepStab/2_avg_stab_r_25.avi, 0.03825646496422948, 0.050692332700397705, 0.046039914910897546, 0.47757708338615185, 0.5334316266714434, 14.543991848775287, 15.975191129256297
../results-new/averaging-filter/DeepStab/30_avg_stab_r_25.avi, 0.03599105330087127, 0.03724319259730705, 0.03675899450511319, 0.38677168644262055, 0.43572138377491154, 12.827520386707233, 14.721139935237428
../results-new/averaging-filter/DeepStab/31_avg_stab_r_25.avi, 0.036289951042190446, 0.036566106267684244, 0.037760744880939626, 0.3205543612914964, 0.36549312861238936, 11.258090689652745, 13.31527872406193
../results-new/averaging-filter/DeepStab/32_avg_stab_r_25.avi, 0.035758341850003005, 0.03658795892948058, 0.03684512444820407, 0.3862664296267172, 0.4596511719680408, 12.539191552817243, 15.066662471409494
../results-new/averaging-filter/DeepStab/33_avg_stab_r_25.avi, 0.0364396532629878, 0.03576024611008446, 0.03917961275123338, 0.35923514759815367, 0.4328975543763924, 11.84178406013157, 14.437650577156695
