file_path, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2
../results-new/subSpace/big-bot-clipped-out/run12_clipped_subSpace_out.avi, 0.053839729483150474, 0.05121541511512921, 0.055056705203189386, 0.6847040652106331, 0.6339870181713992, 16.798047266645753, 15.468655289303854
../results-new/subSpace/big-bot-clipped-out/run13_clipped_subSpace_out.avi, 0.04173657930509514, 0.045180643440301003, 0.03942549000393756, 0.777541891700255, 0.7657899745661959, 21.12240971306231, 21.065976253503898
../results-new/subSpace/big-bot-clipped-out/run14_clipped_subSpace_out.avi, 0.06787843639086978, 0.0639659459956413, 0.060123829857444355, 0.8960969769722561, 0.9329264104767082, 25.518412718437485, 26.298177700407923
../results-new/subSpace/big-bot-clipped-out/run15_clipped_subSpace_out.avi, 0.07847480029281731, 0.06867912515165815, 0.08392589904677171, 0.7777830804845022, 0.7744273249495504, 16.63708028670262, 16.084648585804317
../results-new/subSpace/big-bot-clipped-out/run2_clipped_subSpace_out.avi, 0.06163882331918462, 0.08283290734718386, 0.13643457244174093, 0.694649330447375, 0.7226316333495939, 15.737465802395423, 16.208490058774853
file_path, stable_rythm, unstable_rythm, stabilized_rythm, mean_ssim, mean_ssim_2, mean_psnr, mean_psnr_2
../results-new/subSpace/big-bot-clipped-out/run12_clipped_subSpace_out.avi, 0.0559096127604736, 0.05121541511512921, 0.055056705203189386, 0.6427238391346293, 0.6339870181713992, 15.515080811974787, 15.468655289303854
../results-new/subSpace/big-bot-clipped-out/run13_clipped_subSpace_out.avi, 0.04111274242577977, 0.045180643440301003, 0.03942549000393756, 0.734572391820308, 0.7657899745661959, 19.850310140724588, 21.065976253503898
../results-new/subSpace/big-bot-clipped-out/run14_clipped_subSpace_out.avi, 0.06280344620632856, 0.0639659459956413, 0.060123829857444355, 0.8752066311816337, 0.9329264104767082, 24.675877911164427, 26.298177700407923
../results-new/subSpace/big-bot-clipped-out/run15_clipped_subSpace_out.avi, 0.10354766955320649, 0.06867912515165815, 0.08392589904677171, 0.6658451789936841, 0.7744273249495504, 13.9613139277929, 16.084648585804317
../results-new/subSpace/big-bot-clipped-out/run2_clipped_subSpace_out.avi, 0.09110964511077561, 0.08283290734718386, 0.13643457244174093, 0.513986620170083, 0.7226316333495939, 13.493562814276249, 16.208490058774853
